,Speaker,Emotion,Label,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
0,Men,neutral,Men_neutral,-697.9842,55.22849,0.323863,12.775377,7.3961473,0.86622375,-3.5502758,-2.8283315,-11.305532,-2.5249267,0.49610448,-2.7229264,1.6458004,0.7504636,0.78971076,0.7778932,0.78211856,0.7396715,0.68050104,0.6839989,0.72876686,0.7558429,0.74630034,0.74428326,0.7229834,19.17099770095177,11.228535730796215,14.938287386575473,14.187339472449358,14.899156119083244,16.857356546179982,29.403946627980744
1,Men,neutral,Men_neutral,-693.06976,55.73457,-1.9197392,16.408995,8.449355,0.22073597,-1.7383418,-4.9312906,-11.981821,-0.99378026,0.49410692,-2.2968976,0.6787002,0.74542606,0.78056294,0.76183593,0.73062706,0.70619065,0.67069995,0.68825096,0.7255334,0.7505824,0.7415263,0.7399667,0.7221609,19.70367727718775,12.061532949190475,15.659182904341018,14.883158521837364,15.174847353224608,16.9128105483919,28.86944131886297
2,Men,neutral,Men_neutral,-691.77014,58.350647,-0.16516027,13.952125,5.0533233,1.489326,-2.3974292,-5.059065,-10.638003,-3.3441968,0.26454964,-2.5291073,1.5486121,0.76934665,0.79681927,0.7921322,0.7995994,0.75883687,0.68038315,0.6757418,0.7221375,0.76610535,0.75484526,0.7046505,0.7139016,18.81888087398726,12.208414007971667,14.876291298375252,14.282521029057454,15.44891378874824,16.76706767847177,29.21347086849577
3,Men,neutral,Men_neutral,-685.2379,56.236694,2.453112,13.566656,6.701949,3.3414934,-1.8950523,-6.6738167,-10.671633,-2.9463198,0.89564353,-1.2035999,0.2465692,0.77189535,0.7477494,0.74348503,0.76709044,0.7360742,0.7045573,0.6967749,0.7588887,0.7432857,0.70823544,0.71984905,0.7352205,20.4819336937591,11.763805230162642,15.67573398203942,15.455351075275924,15.37825135551115,16.15474240851032,28.362976547135176
4,Men,neutral,Men_calm,-727.31793,62.7644,2.751275,15.473256,7.763115,2.3307142,-3.6416821,-3.367344,-10.113077,-4.470085,0.63989425,-2.7456565,0.19821925,0.69391954,0.75594366,0.78722316,0.7590464,0.7001441,0.68418545,0.6706512,0.7077045,0.7171034,0.7376121,0.7694643,0.70285904,18.47817720307562,11.246409819950667,15.137287873760863,14.289476823211215,15.609332489649942,16.297521458223695,28.978390768964445
5,Men,neutral,Men_calm,-707.55347,67.09773,1.9093647,11.530988,9.399661,1.4150268,-4.764856,-4.3333335,-8.645218,-4.472897,1.4295207,-2.0484023,-0.51856047,0.7309065,0.7599691,0.7778098,0.8019313,0.7031471,0.6815756,0.7174992,0.7378538,0.73018754,0.71334016,0.7418307,0.7101949,19.82292693942988,12.3588052033225,15.52463938192553,13.96282086578522,15.242603166888273,15.854858151346194,28.698622459661376
6,Men,neutral,Men_calm,-697.4039,65.513794,0.52535695,14.03812,5.5549498,3.2954519,-1.7407445,-4.3807554,-9.062699,-4.1661587,1.5895823,-1.2514737,1.058002,0.69031245,0.7409815,0.7736164,0.78837115,0.7264592,0.6678104,0.6593016,0.6817827,0.70569915,0.70705944,0.715258,0.70180035,21.05342138540976,12.536513895159471,15.5706705488144,14.7791444587769,16.140334815483705,16.860706290221422,29.235988058502524
7,Men,neutral,Men_calm,-698.85394,69.10643,0.7254111,14.0907345,7.961055,2.463775,-0.99434227,-5.345838,-8.234461,-4.0351453,0.6476501,-1.3391949,1.241421,0.6805593,0.7331784,0.7647237,0.764318,0.70230114,0.6494059,0.6562832,0.68817747,0.7238972,0.73062104,0.7295583,0.71939933,21.68582013111001,12.58857499864365,16.065289475265594,14.645842439243555,15.666507952197604,16.2802111239601,29.14243733898266
8,Men,neutral,Men_calm,-734.38495,70.98158,3.7895305,14.324812,8.8596945,2.308805,-4.1103296,-2.4095542,-6.710663,-4.0116477,1.644352,0.43918857,-0.52450657,0.6868752,0.7289324,0.79454386,0.7901897,0.742994,0.7099186,0.7014143,0.75316936,0.72950774,0.6743399,0.6905686,0.7323328,20.41352527063507,11.871457966741584,15.28074843149218,14.40656458658197,15.832148613169425,15.98961798395574,29.277097289185644
9,Men,neutral,Men_calm,-698.0933,67.791794,-0.90085703,12.33659,6.4498596,1.0203946,-4.993831,-5.5840025,-8.369481,-4.4414024,2.250739,-1.0461272,-1.518406,0.69912875,0.7311684,0.73627746,0.764529,0.7580464,0.70089763,0.6992459,0.7271426,0.74042404,0.70024306,0.6816329,0.6935991,19.38064116780544,12.215230808257408,14.775815740663244,14.470193148948637,16.264593168092297,16.49822389350888,29.578653435221756
