,Speaker,Emotion,Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
7956,Women,disgust,Women_disgust,-294.57347327998076,84.00901483729066,14.817047539760273,12.372012647022895,6.050066364795792,2.8117342752319017,-1.6332246914037054,-4.697919808809546,-0.6705498995815472,8.848117442507576,6.216268167912964,-5.039079734645035,-1.405973448788567,0.5885105126510229,0.5915404526979025,0.6319410163038878,0.7200147213524549,0.7727685506927183,0.7680433799901449,0.7504131407281616,0.758851510974691,0.7386662155967607,0.6862525255511831,0.7022327531903211,0.649959758829907,10.929128011916958,14.140427402204745,16.110339295809453,15.398492333125828,16.553526049332284,15.499082374704537,13.799168953624863
9974,Men,neutral,Men_neutral,-307.0505015434611,50.81031452298135,34.740475757850284,27.982208459459912,16.862201088377837,8.334154870022314,2.877062818130025,0.059296823508853055,-1.8567129490693532,-1.8943874267679186,-3.938631787982386,-4.214349638996052,-2.7994412107976725,0.6902017568497231,0.7858355427572155,0.7698014257155018,0.7595829571755579,0.7942798751558842,0.7342284267994498,0.74538722760259,0.7661075491511078,0.7732554786848637,0.7845800326347312,0.777484136908236,0.7093663120731415,17.440872233329113,14.020314053036836,16.43180742446216,14.218964824376382,14.312084087375387,13.824085637076635,13.60297808022072
7699,Women,angry,Women_angry,-220.82661126253416,43.271763191929445,14.410625734751473,21.42080146573605,5.362642418093502,-3.9153544574770307,-3.8915003279376834,-2.471457118001309,-4.12949126518806,-1.5059875278292947,-0.6757598570913377,-2.2920750528978826,-0.7114954006296564,0.6241988137341496,0.6051246546065165,0.6593107096350237,0.6562685375919409,0.7208064523893178,0.720519669052259,0.6412166645157581,0.6228834709935572,0.6277646993107633,0.7106704953549732,0.8655241123876197,0.7899766800600319,12.068818881266301,16.203924931538875,18.443007023051365,15.301283808158948,15.2220335706484,14.907460047019425,14.068731270144948
9484,Men,angry,Men_angry,-92.54419432854363,20.0022210742679,3.818736069610176,-1.1197891784261804,-1.068297248116021,-3.2293880295374144,-4.718358308429912,-2.432141494758944,-0.1608701623082616,0.3295779337621702,-0.28778122808145973,-1.8849610310614378,-2.3372759400666245,0.7979157716576232,0.8202656556005632,0.8426498855387579,0.8408347101235647,0.8440603142710212,0.791208019925971,0.7020621984779591,0.7551987497806049,0.7482924124905949,0.7577245835625728,0.7964614542886285,0.7839687137966377,13.97771060543496,12.554064352048847,14.867468674060477,13.786948354401549,14.109425859247134,13.517243883604625,13.664971754284954
4365,Men,angry,Men_angry,-168.32534943307317,42.04880919841449,16.037351874224875,16.200592001717823,4.500851088343863,-5.4353496735450735,-2.4935182873922854,-2.789095375297694,-10.563799060147472,-6.604192078053047,-1.9540985066774208,-3.134610952934054,-3.061514223878687,0.6568430858814861,0.779417797095561,0.8362548238953877,0.7899119377162237,0.7778022069148264,0.678012830256381,0.5941252029483193,0.6123521361405468,0.6696238566356308,0.6711569822045713,0.6322740096331917,0.621914830584098,16.00195691323829,14.787506206839497,17.10667222799993,13.696285734011406,15.544685043709386,14.660963093685536,13.882167217440715
5532,Men,disgust,Men_disgust,-317.57743572769135,64.30965430785045,31.896716620985494,20.069547323982082,7.648858028605757,9.345298102416512,2.110007309958575,1.2381115100299944,-1.3196536410827338,-1.9404968482703555,0.5192153184390123,-0.8518210807991096,-2.1775662731479204,0.7764389770083207,0.7743904600193551,0.7080890811801684,0.8275975635498862,0.8770568204124973,0.7585346181766562,0.7896652342454811,0.7840799414218422,0.7368828823819433,0.8354651036414661,0.7992915527273236,0.7408099490357284,12.456646375157227,13.482428384237187,15.19320804781248,13.645299194186967,14.594270536878465,14.148346760227058,14.051057706752209
3875,Women,fearful,Women_fearful,-348.36082640340436,58.369293404566825,40.48718924594488,33.18504872154665,20.153215480921034,12.331173557998648,7.194947350433086,2.0229965845188773,-0.48963583823471346,0.1803109311654082,-1.544141972826908,-4.610417452054816,-4.877337838762833,0.6060783970587922,0.6534547749594433,0.6131696828807403,0.6137650524539202,0.6667108920450716,0.6630079101530977,0.6369894237805375,0.6793596667242431,0.7520113894451098,0.7702546103756343,0.769015479494964,0.6694235646481004,13.44007620283411,16.83845433627822,16.17176485530058,13.695894522569498,14.467520525510844,14.06239917127409,13.663589622549996
4398,Men,happy,Men_happy,-230.69879413142672,45.795722319398294,26.012169637682433,17.25238965869127,5.6387805825504245,-0.06303188089626216,-2.3376290411315783,-2.269151292134734,-2.604276645914879,-0.47077444917319056,-1.1155728492712926,-2.2617012658447515,-1.292908835272348,0.888918529985066,0.7745706722637822,0.6735534915204849,0.6981730299615045,0.7321566813476224,0.668658346397368,0.6252775501626826,0.6356856062947075,0.659757736501188,0.6771136407580838,0.684690964092304,0.7376724900533825,14.019987642131534,14.757835546469227,17.544860611645028,16.052761645565287,14.608837477035088,14.084541248965358,13.672919507619179
518,Men,fearful,Men_fearful,-563.3474817918076,17.93159726327147,12.630278110288486,11.204449857263468,6.5863598437270685,4.997607390655096,0.9002401375008455,-2.4555160574969728,0.4004288997056534,0.38192739799905706,-0.07404011844062296,1.9820017223115063,1.6421833223825246,0.8481365225667861,0.8238539190910954,0.8220333747584981,0.8348581635991804,0.8662325569881003,0.821033669989327,0.7533851790767878,0.7552843378962917,0.7383967225751613,0.7655487702563368,0.7647063263969531,0.8155295359564965,16.81558515181971,11.421531404577005,14.137171820542434,14.124808189723534,14.315907190212258,13.976776846917508,13.834671578362611
8982,Women,disgust,Women_disgust,-359.84407014722,67.51988113554216,45.10402824265559,29.201575833062176,14.383351713490077,7.743422235479377,3.296595870609927,1.0307679817013156,-1.5096409893820268,-0.49368664869257806,-0.26435918247458473,-1.7876840966288128,-2.217679391343942,0.7511957713252628,0.767401550710462,0.7842657507242422,0.7550036315196806,0.8076351703690604,0.7763440724498961,0.7888260529768996,0.8230178275093999,0.818660443481593,0.8120514522861941,0.8027041685855238,0.7560890846626788,12.251039622888964,13.321584955717633,15.491053449757816,14.302594086353851,13.828215913291638,13.79318787157471,13.861286042304714
1387,Women,neutral,Women_calm,-585.2502627454521,23.122887325539487,4.034467321509008,-0.025990249343628414,-2.022234616026776,-1.943045135846777,-9.177903245728931,-6.110759432168136,-8.007951011096951,-4.509216052065507,-5.5253840674867405,-2.511414119872937,-4.860652130176059,0.6610420949021678,0.6421023005923638,0.6858679607578425,0.7081637572508221,0.7021546867594783,0.6194933483464585,0.5870495819605004,0.7095405960771016,0.8033667040998624,0.7714022849027404,0.7126924489401423,0.691853415379392,13.69430997720375,15.660745357623227,17.631775160536186,15.165582764882583,16.248247045289197,15.014882382865569,14.982997142192858
3323,Women,angry,Women_angry,-194.83568056174434,27.78210169487838,12.946367747353367,12.350976751374633,5.285393472176403,-0.28968143498329973,-4.971402400089978,-1.5920155177106474,-1.4671250324412808,-0.9020188459167707,-1.0768795219820717,-2.681014151289774,-1.8847855661169792,0.6754977269612334,0.7212182250702703,0.7903104453329473,0.7782859339189635,0.7226807156858437,0.6095586433046504,0.6276713595354269,0.6232872893798229,0.662428864310027,0.6933014699798179,0.6713174834392998,0.6556796848302329,12.372121252370667,16.15214193207528,16.99316953362066,14.637567155877434,15.656059743654307,14.432656234660943,14.014675897757355
9046,Women,disgust,Women_disgust,-370.82875904723056,77.70370939857669,39.250078857437586,30.871166214211744,9.667999889243141,5.456178297033288,-0.12636508966903567,1.5109348714767603,-2.8372148985704566,-0.344129220389118,0.5437002869475903,0.534035431351117,0.9962360458798909,0.7209425627700847,0.7367146427558178,0.6958216620076828,0.7327850847501052,0.8327548795611649,0.7739891748390334,0.7310127188229896,0.714881551025974,0.7278177652975613,0.7460351513856697,0.7770720589379456,0.7326765120327045,11.612383334986948,13.197021518537817,15.524405746849698,14.542853806233724,15.118836160289076,14.682072354558425,14.4443339790736
7928,Men,disgust,Men_disgust,-357.0445673990227,81.52321703403415,38.36777814340587,27.896831415630366,14.627020746586664,5.069345954959324,-4.175773741749938,-2.5059230801643686,-1.6497211400475267,-1.4047588965367974,-0.13609990571961897,0.5004899874489119,1.0443838809208905,0.7721102253600051,0.752924098323083,0.7500076942919837,0.7447578163129347,0.7332264610406185,0.7183652359208372,0.7860528752094315,0.7837045585648311,0.7547807673733293,0.7812787139580258,0.7777608722859483,0.7632562183131009,11.809349869017325,12.996196757111294,16.191846983409317,13.882156345461105,14.925980150153414,14.064393106312025,13.701962082032221
2614,Women,angry,Women_angry,-193.04085585694105,12.54532911019113,-14.243508993659155,-9.344269393228988,-8.596019283195462,-8.308476726583269,-3.5347452485886164,-3.473466196728733,-4.1270442478747125,-1.762558487701057,-1.4787844372967636,-2.0454371794126143,-0.8789376284719753,0.7153332004770782,0.7305804032907464,0.731612874970435,0.7589179313327469,0.7434715145158685,0.6734081422437642,0.6725953100594362,0.6557204076791794,0.6927808926924437,0.7259418733619578,0.7000076730508242,0.7070386914193068,10.494452927456704,12.65476857763291,15.592762111216095,15.564586286759717,15.517505160691538,15.043555376882741,14.119495165647981
