,path,Speaker,Emotion,Label
0,data\RAVDEES\Actor_01\03-01-01-01-01-01-01.wav,Men,neutral,Men_neutral
1,data\RAVDEES\Actor_01\03-01-01-01-01-02-01.wav,Men,neutral,Men_neutral
2,data\RAVDEES\Actor_01\03-01-01-01-02-01-01.wav,Men,neutral,Men_neutral
3,data\RAVDEES\Actor_01\03-01-01-01-02-02-01.wav,Men,neutral,Men_neutral
4,data\RAVDEES\Actor_01\03-01-02-01-01-01-01.wav,Men,calm,Men_calm
5,data\RAVDEES\Actor_01\03-01-02-01-01-02-01.wav,Men,calm,Men_calm
6,data\RAVDEES\Actor_01\03-01-02-01-02-01-01.wav,Men,calm,Men_calm
7,data\RAVDEES\Actor_01\03-01-02-01-02-02-01.wav,Men,calm,Men_calm
8,data\RAVDEES\Actor_01\03-01-02-02-01-01-01.wav,Men,calm,Men_calm
9,data\RAVDEES\Actor_01\03-01-02-02-01-02-01.wav,Men,calm,Men_calm
10,data\RAVDEES\Actor_01\03-01-02-02-02-01-01.wav,Men,calm,Men_calm
11,data\RAVDEES\Actor_01\03-01-02-02-02-02-01.wav,Men,calm,Men_calm
12,data\RAVDEES\Actor_01\03-01-03-01-01-01-01.wav,Men,happy,Men_happy
13,data\RAVDEES\Actor_01\03-01-03-01-01-02-01.wav,Men,happy,Men_happy
14,data\RAVDEES\Actor_01\03-01-03-01-02-01-01.wav,Men,happy,Men_happy
15,data\RAVDEES\Actor_01\03-01-03-01-02-02-01.wav,Men,happy,Men_happy
16,data\RAVDEES\Actor_01\03-01-03-02-01-01-01.wav,Men,happy,Men_happy
17,data\RAVDEES\Actor_01\03-01-03-02-01-02-01.wav,Men,happy,Men_happy
18,data\RAVDEES\Actor_01\03-01-03-02-02-01-01.wav,Men,happy,Men_happy
19,data\RAVDEES\Actor_01\03-01-03-02-02-02-01.wav,Men,happy,Men_happy
20,data\RAVDEES\Actor_01\03-01-04-01-01-01-01.wav,Men,sad,Men_sad
21,data\RAVDEES\Actor_01\03-01-04-01-01-02-01.wav,Men,sad,Men_sad
22,data\RAVDEES\Actor_01\03-01-04-01-02-01-01.wav,Men,sad,Men_sad
23,data\RAVDEES\Actor_01\03-01-04-01-02-02-01.wav,Men,sad,Men_sad
24,data\RAVDEES\Actor_01\03-01-04-02-01-01-01.wav,Men,sad,Men_sad
