,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
0,0.7504636,0.78971076,0.7778932,0.78211856,0.7396715,0.68050104,0.6839989,0.72876686,0.7558429,0.74630034,0.74428326,0.7229834
1,0.74542606,0.78056294,0.76183593,0.73062706,0.70619065,0.67069995,0.68825096,0.7255334,0.7505824,0.7415263,0.7399667,0.7221609
2,0.76934665,0.79681927,0.7921322,0.7995994,0.75883687,0.68038315,0.6757418,0.7221375,0.76610535,0.75484526,0.7046505,0.7139016
3,0.77189535,0.7477494,0.74348503,0.76709044,0.7360742,0.7045573,0.6967749,0.7588887,0.7432857,0.70823544,0.71984905,0.7352205
4,0.69391954,0.75594366,0.78722316,0.7590464,0.7001441,0.68418545,0.6706512,0.7077045,0.7171034,0.7376121,0.7694643,0.70285904
5,0.7309065,0.7599691,0.7778098,0.8019313,0.7031471,0.6815756,0.7174992,0.7378538,0.73018754,0.71334016,0.7418307,0.7101949
6,0.69031245,0.7409815,0.7736164,0.78837115,0.7264592,0.6678104,0.6593016,0.6817827,0.70569915,0.70705944,0.715258,0.70180035
7,0.6805593,0.7331784,0.7647237,0.764318,0.70230114,0.6494059,0.6562832,0.68817747,0.7238972,0.73062104,0.7295583,0.71939933
8,0.6868752,0.7289324,0.79454386,0.7901897,0.742994,0.7099186,0.7014143,0.75316936,0.72950774,0.6743399,0.6905686,0.7323328
9,0.69912875,0.7311684,0.73627746,0.764529,0.7580464,0.70089763,0.6992459,0.7271426,0.74042404,0.70024306,0.6816329,0.6935991
10,0.6573405,0.6909743,0.75388664,0.7311296,0.69182897,0.6573874,0.62362874,0.6234192,0.62291807,0.6522711,0.73582953,0.7670776
11,0.6686257,0.7589113,0.7823648,0.7524102,0.6992787,0.69927025,0.6897226,0.70814407,0.68637264,0.67649627,0.6887574,0.6360555
12,0.7634359,0.7909955,0.7639952,0.7747752,0.75906825,0.7099523,0.6728451,0.7028151,0.71980256,0.71623737,0.7267208,0.7358329
13,0.7566277,0.7507866,0.75565696,0.7630044,0.7151827,0.7050428,0.68626016,0.71150434,0.71793425,0.7243279,0.7607132,0.763556
14,0.6947087,0.72512347,0.761116,0.7309394,0.67167133,0.6513334,0.65701246,0.7114888,0.731461,0.72339463,0.74760985,0.73051584
15,0.70063275,0.72090435,0.76234,0.75860846,0.67046565,0.642288,0.6477591,0.64382094,0.68408656,0.682456,0.6944311,0.7467009
16,0.64368767,0.7120511,0.749762,0.6989123,0.691005,0.69922835,0.7196467,0.70802665,0.6459667,0.6317881,0.71537024,0.6837445
17,0.6150484,0.6901825,0.6704,0.64930904,0.6923485,0.70621115,0.69734824,0.7392408,0.758525,0.6646767,0.63612056,0.6055117
18,0.6288621,0.65027124,0.6524169,0.6853126,0.69396746,0.7198304,0.69244766,0.7280076,0.7351136,0.6896701,0.6611574,0.6172889
19,0.6903404,0.70457065,0.7236451,0.7037752,0.6883506,0.6849673,0.6721142,0.7172065,0.7076082,0.6460424,0.6326275,0.6640593
20,0.7900484,0.79025847,0.77016926,0.7510311,0.6619627,0.60348916,0.63300616,0.68512285,0.69591916,0.7213752,0.74096775,0.7281663
21,0.7223813,0.7513312,0.7532259,0.7846728,0.71414715,0.65451646,0.64387023,0.6934913,0.7414636,0.707673,0.6803991,0.64794785
