,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
0,0.65105367,0.69124466,0.6806424,0.6740371,0.6655616,0.5698786,0.56663805,0.6221356,0.6537875,0.7565182,0.8376546,0.74389416
1,0.71065384,0.736296,0.6525079,0.6722252,0.68246776,0.6095128,0.5761115,0.61177266,0.6867993,0.8062753,0.8742558,0.7604152
2,0.6175499,0.6653709,0.64614886,0.64730465,0.610987,0.5883076,0.5820902,0.66016954,0.6832632,0.78943455,0.83829427,0.66521126
3,0.6415498,0.6509553,0.6705184,0.68038726,0.6647178,0.64727837,0.569328,0.6193669,0.6729511,0.81423783,0.804732,0.670106
4,0.7037829,0.68763065,0.6709016,0.6723871,0.64444125,0.5924393,0.60404193,0.6414892,0.6810288,0.755907,0.8257074,0.7703712
5,0.6872146,0.71956414,0.674534,0.6862177,0.682281,0.6142831,0.5955454,0.6728634,0.7615479,0.8289124,0.8772466,0.7531668
6,0.6522319,0.7488569,0.67514694,0.65318763,0.6412587,0.55890685,0.50710154,0.5108409,0.59340733,0.71196955,0.7398121,0.6533002
7,0.7097039,0.77299786,0.7264629,0.6588335,0.63917065,0.5960035,0.61939085,0.6493032,0.7188181,0.7566413,0.8232239,0.74914074
8,0.63850427,0.7335423,0.62367725,0.6252686,0.6732073,0.63870585,0.61085707,0.5988134,0.6342468,0.73044664,0.7959517,0.64527714
9,0.7293527,0.7473736,0.6732583,0.6518996,0.6948571,0.6429652,0.5958447,0.6437762,0.70962936,0.7619678,0.8182198,0.75708544
10,0.75975525,0.76158816,0.6941501,0.7090673,0.68234366,0.6389379,0.6236514,0.7009495,0.7711984,0.8564155,0.740604,0.65770036
11,0.7125707,0.8132873,0.7083629,0.67846704,0.7163079,0.64409286,0.6002673,0.637899,0.6953061,0.72730875,0.78891444,0.70946485
12,0.63621163,0.7481409,0.6734444,0.6921277,0.6746498,0.5791569,0.4997249,0.56163234,0.6321561,0.74311095,0.7946575,0.64403945
13,0.79865354,0.77194315,0.7167286,0.7141139,0.64021176,0.6149054,0.5764212,0.62233514,0.6829704,0.77478313,0.74424845,0.7074711
14,0.7241304,0.7447546,0.6832912,0.68294686,0.6252803,0.5509827,0.51511055,0.58131105,0.66388905,0.7767352,0.7368577,0.6398083
15,0.6641495,0.6796779,0.59170246,0.5444232,0.5678752,0.6647712,0.5902211,0.5419234,0.5770124,0.6996134,0.6662438,0.5639583
16,0.69224936,0.7528532,0.7215906,0.7123549,0.71396154,0.636525,0.58406484,0.57739925,0.69025755,0.7697175,0.8067995,0.7241882
17,0.6882055,0.77470434,0.70106506,0.6805736,0.682629,0.6045366,0.56728977,0.5899533,0.65947396,0.75801337,0.76327443,0.6740134
18,0.69306016,0.7544175,0.6857817,0.66949683,0.70232767,0.65927905,0.5851538,0.6225252,0.6738124,0.7324142,0.777351,0.6993184
19,0.65829325,0.72047985,0.66310793,0.61587805,0.68176657,0.63945264,0.59417117,0.61127615,0.69924307,0.7591452,0.855222,0.7649059
20,0.67934436,0.71446323,0.68178254,0.6798054,0.6607949,0.5985655,0.57171595,0.660367,0.755074,0.76321226,0.8800983,0.8353918
21,0.73492306,0.80423737,0.70692694,0.65780616,0.6313027,0.56970304,0.57544726,0.6260513,0.65467185,0.7446927,0.8641241,0.7652048
22,0.707056,0.70398855,0.61683196,0.6257924,0.6632646,0.5727734,0.57133883,0.6236068,0.6158776,0.6843733,0.7598639,0.74838084
23,0.70585376,0.7809055,0.7215841,0.7277787,0.73938847,0.66178536,0.63225585,0.66835916,0.72219217,0.79892963,0.7973849,0.71138984
24,0.6460496,0.7522867,0.6839741,0.67589164,0.61607677,0.54663223,0.5506643,0.6117491,0.63975793,0.7459906,0.74927855,0.6269201
25,0.64759827,0.68385106,0.64953536,0.6771888,0.71274924,0.7111505,0.5498892,0.54968274,0.58564025,0.65734464,0.6712045,0.585982
26,0.6933229,0.67459506,0.6252488,0.68454486,0.7306326,0.6165983,0.54854125,0.58733916,0.6414716,0.7435562,0.8095899,0.7020295
27,0.7020484,0.76633716,0.72353446,0.7107881,0.651269,0.5734459,0.5645036,0.63819957,0.6575953,0.6830065,0.719838,0.70214415
