,path,Emotion,Speaker,Label
0,data/CREMA-D/AudioWAV\1001_DFA_ANG_XX.wav,angry,Men,Men_angry
1,data/CREMA-D/AudioWAV\1001_DFA_DIS_XX.wav,disgust,Men,Men_disgust
2,data/CREMA-D/AudioWAV\1001_DFA_FEA_XX.wav,fearful,Men,Men_fearful
3,data/CREMA-D/AudioWAV\1001_DFA_HAP_XX.wav,happy,Men,Men_happy
4,data/CREMA-D/AudioWAV\1001_DFA_NEU_XX.wav,neutral,Men,Men_neutral
5,data/CREMA-D/AudioWAV\1001_DFA_SAD_XX.wav,sad,Men,Men_sad
6,data/CREMA-D/AudioWAV\1001_IEO_ANG_HI.wav,angry,Men,Men_angry
7,data/CREMA-D/AudioWAV\1001_IEO_ANG_LO.wav,angry,Men,Men_angry
8,data/CREMA-D/AudioWAV\1001_IEO_ANG_MD.wav,angry,Men,Men_angry
9,data/CREMA-D/AudioWAV\1001_IEO_DIS_HI.wav,disgust,Men,Men_disgust
10,data/CREMA-D/AudioWAV\1001_IEO_DIS_LO.wav,disgust,Men,Men_disgust
11,data/CREMA-D/AudioWAV\1001_IEO_DIS_MD.wav,disgust,Men,Men_disgust
12,data/CREMA-D/AudioWAV\1001_IEO_FEA_HI.wav,fearful,Men,Men_fearful
13,data/CREMA-D/AudioWAV\1001_IEO_FEA_LO.wav,fearful,Men,Men_fearful
14,data/CREMA-D/AudioWAV\1001_IEO_FEA_MD.wav,fearful,Men,Men_fearful
15,data/CREMA-D/AudioWAV\1001_IEO_HAP_HI.wav,happy,Men,Men_happy
16,data/CREMA-D/AudioWAV\1001_IEO_HAP_LO.wav,happy,Men,Men_happy
17,data/CREMA-D/AudioWAV\1001_IEO_HAP_MD.wav,happy,Men,Men_happy
18,data/CREMA-D/AudioWAV\1001_IEO_NEU_XX.wav,neutral,Men,Men_neutral
19,data/CREMA-D/AudioWAV\1001_IEO_SAD_HI.wav,sad,Men,Men_sad
20,data/CREMA-D/AudioWAV\1001_IEO_SAD_LO.wav,sad,Men,Men_sad
21,data/CREMA-D/AudioWAV\1001_IEO_SAD_MD.wav,sad,Men,Men_sad
22,data/CREMA-D/AudioWAV\1001_IOM_ANG_XX.wav,angry,Men,Men_angry
23,data/CREMA-D/AudioWAV\1001_IOM_DIS_XX.wav,disgust,Men,Men_disgust
24,data/CREMA-D/AudioWAV\1001_IOM_FEA_XX.wav,fearful,Men,Men_fearful
25,data/CREMA-D/AudioWAV\1001_IOM_HAP_XX.wav,happy,Men,Men_happy
26,data/CREMA-D/AudioWAV\1001_IOM_NEU_XX.wav,neutral,Men,Men_neutral
27,data/CREMA-D/AudioWAV\1001_IOM_SAD_XX.wav,sad,Men,Men_sad
28,data/CREMA-D/AudioWAV\1001_ITH_ANG_XX.wav,angry,Men,Men_angry
29,data/CREMA-D/AudioWAV\1001_ITH_DIS_XX.wav,disgust,Men,Men_disgust
30,data/CREMA-D/AudioWAV\1001_ITH_FEA_XX.wav,fearful,Men,Men_fearful
31,data/CREMA-D/AudioWAV\1001_ITH_HAP_XX.wav,happy,Men,Men_happy
32,data/CREMA-D/AudioWAV\1001_ITH_NEU_XX.wav,neutral,Men,Men_neutral
33,data/CREMA-D/AudioWAV\1001_ITH_SAD_XX.wav,sad,Men,Men_sad
34,data/CREMA-D/AudioWAV\1001_ITS_ANG_XX.wav,angry,Men,Men_angry
35,data/CREMA-D/AudioWAV\1001_ITS_DIS_XX.wav,disgust,Men,Men_disgust
36,data/CREMA-D/AudioWAV\1001_ITS_FEA_XX.wav,fearful,Men,Men_fearful
37,data/CREMA-D/AudioWAV\1001_ITS_HAP_XX.wav,happy,Men,Men_happy
38,data/CREMA-D/AudioWAV\1001_ITS_NEU_XX.wav,neutral,Men,Men_neutral
39,data/CREMA-D/AudioWAV\1001_ITS_SAD_XX.wav,sad,Men,Men_sad
40,data/CREMA-D/AudioWAV\1001_IWL_ANG_XX.wav,angry,Men,Men_angry
41,data/CREMA-D/AudioWAV\1001_IWL_DIS_XX.wav,disgust,Men,Men_disgust
42,data/CREMA-D/AudioWAV\1001_IWL_FEA_XX.wav,fearful,Men,Men_fearful
43,data/CREMA-D/AudioWAV\1001_IWL_HAP_XX.wav,happy,Men,Men_happy
44,data/CREMA-D/AudioWAV\1001_IWL_NEU_XX.wav,neutral,Men,Men_neutral
45,data/CREMA-D/AudioWAV\1001_IWL_SAD_XX.wav,sad,Men,Men_sad
46,data/CREMA-D/AudioWAV\1001_IWW_ANG_XX.wav,angry,Men,Men_angry
47,data/CREMA-D/AudioWAV\1001_IWW_DIS_XX.wav,disgust,Men,Men_disgust
48,data/CREMA-D/AudioWAV\1001_IWW_FEA_XX.wav,fearful,Men,Men_fearful
49,data/CREMA-D/AudioWAV\1001_IWW_HAP_XX.wav,happy,Men,Men_happy
50,data/CREMA-D/AudioWAV\1001_IWW_NEU_XX.wav,neutral,Men,Men_neutral
51,data/CREMA-D/AudioWAV\1001_IWW_SAD_XX.wav,sad,Men,Men_sad
52,data/CREMA-D/AudioWAV\1001_MTI_ANG_XX.wav,angry,Men,Men_angry
53,data/CREMA-D/AudioWAV\1001_MTI_DIS_XX.wav,disgust,Men,Men_disgust
54,data/CREMA-D/AudioWAV\1001_MTI_FEA_XX.wav,fearful,Men,Men_fearful
55,data/CREMA-D/AudioWAV\1001_MTI_HAP_XX.wav,happy,Men,Men_happy
56,data/CREMA-D/AudioWAV\1001_MTI_NEU_XX.wav,neutral,Men,Men_neutral
57,data/CREMA-D/AudioWAV\1001_MTI_SAD_XX.wav,sad,Men,Men_sad
58,data/CREMA-D/AudioWAV\1001_TAI_ANG_XX.wav,angry,Men,Men_angry
59,data/CREMA-D/AudioWAV\1001_TAI_DIS_XX.wav,disgust,Men,Men_disgust
60,data/CREMA-D/AudioWAV\1001_TAI_FEA_XX.wav,fearful,Men,Men_fearful
61,data/CREMA-D/AudioWAV\1001_TAI_HAP_XX.wav,happy,Men,Men_happy
62,data/CREMA-D/AudioWAV\1001_TAI_NEU_XX.wav,neutral,Men,Men_neutral
63,data/CREMA-D/AudioWAV\1001_TAI_SAD_XX.wav,sad,Men,Men_sad
64,data/CREMA-D/AudioWAV\1001_TIE_ANG_XX.wav,angry,Men,Men_angry
65,data/CREMA-D/AudioWAV\1001_TIE_DIS_XX.wav,disgust,Men,Men_disgust
66,data/CREMA-D/AudioWAV\1001_TIE_FEA_XX.wav,fearful,Men,Men_fearful
67,data/CREMA-D/AudioWAV\1001_TIE_HAP_XX.wav,happy,Men,Men_happy
68,data/CREMA-D/AudioWAV\1001_TIE_NEU_XX.wav,neutral,Men,Men_neutral
69,data/CREMA-D/AudioWAV\1001_TIE_SAD_XX.wav,sad,Men,Men_sad
70,data/CREMA-D/AudioWAV\1001_TSI_ANG_XX.wav,angry,Men,Men_angry
71,data/CREMA-D/AudioWAV\1001_TSI_DIS_XX.wav,disgust,Men,Men_disgust
72,data/CREMA-D/AudioWAV\1001_TSI_FEA_XX.wav,fearful,Men,Men_fearful
73,data/CREMA-D/AudioWAV\1001_TSI_HAP_XX.wav,happy,Men,Men_happy
74,data/CREMA-D/AudioWAV\1001_TSI_NEU_XX.wav,neutral,Men,Men_neutral
75,data/CREMA-D/AudioWAV\1001_TSI_SAD_XX.wav,sad,Men,Men_sad
76,data/CREMA-D/AudioWAV\1001_WSI_ANG_XX.wav,angry,Men,Men_angry
77,data/CREMA-D/AudioWAV\1001_WSI_DIS_XX.wav,disgust,Men,Men_disgust
78,data/CREMA-D/AudioWAV\1001_WSI_FEA_XX.wav,fearful,Men,Men_fearful
79,data/CREMA-D/AudioWAV\1001_WSI_HAP_XX.wav,happy,Men,Men_happy
80,data/CREMA-D/AudioWAV\1001_WSI_NEU_XX.wav,neutral,Men,Men_neutral
81,data/CREMA-D/AudioWAV\1001_WSI_SAD_XX.wav,sad,Men,Men_sad
82,data/CREMA-D/AudioWAV\1002_DFA_ANG_XX.wav,angry,Women,Women_angry
83,data/CREMA-D/AudioWAV\1002_DFA_DIS_XX.wav,disgust,Women,Women_disgust
84,data/CREMA-D/AudioWAV\1002_DFA_FEA_XX.wav,fearful,Women,Women_fearful
85,data/CREMA-D/AudioWAV\1002_DFA_HAP_XX.wav,happy,Women,Women_happy
86,data/CREMA-D/AudioWAV\1002_DFA_NEU_XX.wav,neutral,Women,Women_neutral
87,data/CREMA-D/AudioWAV\1002_DFA_SAD_XX.wav,sad,Women,Women_sad
88,data/CREMA-D/AudioWAV\1002_IEO_ANG_HI.wav,angry,Women,Women_angry
89,data/CREMA-D/AudioWAV\1002_IEO_ANG_LO.wav,angry,Women,Women_angry
90,data/CREMA-D/AudioWAV\1002_IEO_ANG_MD.wav,angry,Women,Women_angry
91,data/CREMA-D/AudioWAV\1002_IEO_DIS_HI.wav,disgust,Women,Women_disgust
92,data/CREMA-D/AudioWAV\1002_IEO_DIS_LO.wav,disgust,Women,Women_disgust
93,data/CREMA-D/AudioWAV\1002_IEO_DIS_MD.wav,disgust,Women,Women_disgust
94,data/CREMA-D/AudioWAV\1002_IEO_FEA_HI.wav,fearful,Women,Women_fearful
95,data/CREMA-D/AudioWAV\1002_IEO_FEA_LO.wav,fearful,Women,Women_fearful
96,data/CREMA-D/AudioWAV\1002_IEO_FEA_MD.wav,fearful,Women,Women_fearful
97,data/CREMA-D/AudioWAV\1002_IEO_HAP_HI.wav,happy,Women,Women_happy
98,data/CREMA-D/AudioWAV\1002_IEO_HAP_LO.wav,happy,Women,Women_happy
99,data/CREMA-D/AudioWAV\1002_IEO_HAP_MD.wav,happy,Women,Women_happy
100,data/CREMA-D/AudioWAV\1002_IEO_NEU_XX.wav,neutral,Women,Women_neutral
101,data/CREMA-D/AudioWAV\1002_IEO_SAD_HI.wav,sad,Women,Women_sad
102,data/CREMA-D/AudioWAV\1002_IEO_SAD_LO.wav,sad,Women,Women_sad
103,data/CREMA-D/AudioWAV\1002_IEO_SAD_MD.wav,sad,Women,Women_sad
104,data/CREMA-D/AudioWAV\1002_IOM_ANG_XX.wav,angry,Women,Women_angry
105,data/CREMA-D/AudioWAV\1002_IOM_DIS_XX.wav,disgust,Women,Women_disgust
106,data/CREMA-D/AudioWAV\1002_IOM_FEA_XX.wav,fearful,Women,Women_fearful
