,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,-342.1443,121.517204,-10.368269,39.999348,-2.3653584,13.843034,-18.595284,-3.3842392,-10.565493,-2.7168422,-11.032807,-2.4969764,-2.7101533
1,-388.6202,134.61287,-18.382833,53.54339,-0.72834754,22.80524,-23.739586,7.21996,-11.196322,-2.3255968,-8.355454,-5.9682384,0.34620076
2,-352.46588,116.18856,-3.568364,33.20027,5.4179897,11.300583,-16.807432,-0.29595423,-6.8927345,-4.1651626,-11.956332,-5.292949,-3.3293896
3,-337.83783,120.653694,-13.208455,40.086323,4.2749667,10.137274,-21.351772,-0.05880504,-9.767957,-6.645999,-14.45126,-3.4047618,-2.136123
4,-368.24304,125.00107,-5.113783,39.821598,6.7759037,12.440155,-12.919507,-2.7589657,-9.945451,-5.3867526,-9.47145,-1.5043125,-3.4023232
5,-408.08658,137.20851,-15.631073,58.04235,-0.052072354,26.096008,-23.210224,7.828356,-10.927242,-2.0586607,-8.448886,-5.4905667,-0.66131157
6,-304.57684,120.53516,-12.104542,30.436934,-18.061567,9.2397175,-9.052004,-3.7493825,-11.680909,-4.28915,-12.400585,2.9365306,-5.1024303
7,-396.5411,139.51035,-7.636393,41.246708,-5.0870104,18.112812,-11.553634,2.3092375,-8.03524,-3.008386,-9.885687,-1.5505471,-1.0973709
8,-377.19327,146.6705,-16.836262,45.76465,-17.956978,21.032877,-13.732382,1.0028849,-15.965826,-1.2862196,-8.631524,1.541617,-3.5543938
9,-350.7159,125.63762,-16.873632,39.64752,-9.075822,12.058475,-12.484437,-2.246863,-9.189572,-1.0575174,-9.068407,-0.910257,-2.8135352
10,-452.31107,156.79068,-20.624191,57.97473,-21.718925,36.55725,-18.803926,20.03839,-16.249424,-2.1670744,-6.7488756,-4.671493,-0.7687376
11,-396.62408,136.83418,-7.559732,40.1251,-11.9026,22.496199,-11.564896,4.1075025,-13.968123,-2.2564154,-6.8534536,-0.8250318,-2.91476
12,-307.55844,114.14441,-9.028743,25.731138,-8.479492,8.686953,-9.635372,-1.9886068,-10.471638,-7.1439853,-11.222908,1.0788531,-3.4906673
13,-380.76703,132.62273,-4.7486444,42.418335,-12.601128,20.638308,-10.567413,4.035394,-13.929809,-5.664716,-8.6870575,2.4318812,0.7200816
14,-353.36145,131.15721,-12.311727,39.58208,-14.173124,15.342008,-11.949066,4.398276,-12.954834,-5.363235,-10.110465,0.03472662,-1.5245368
15,-275.87357,118.25546,-31.287415,27.859465,-21.622072,11.904643,-17.771233,-1.0250711,-15.387848,-6.058618,-10.692565,0.89207923,-2.5207596
16,-387.09235,137.5455,-11.632397,46.896397,-12.681795,21.896587,-10.008029,1.2745719,-12.70739,-4.58919,-9.130885,1.0722932,-2.832995
17,-365.76227,126.951935,-7.719179,36.469273,-8.054616,15.418531,-9.640944,-0.85294694,-13.246604,-6.064559,-8.263393,0.9428408,-2.5231204
18,-401.2696,143.59366,-15.174652,54.587185,-17.385065,29.625845,-17.255785,9.64415,-16.375227,-2.7714915,-6.2759175,-0.82301915,-2.7478452
19,-413.8166,144.71242,-6.3337865,45.84384,-7.469216,23.754675,-19.12175,6.214601,-13.499227,-3.09428,-6.6046414,-2.7070355,-0.410825
20,-420.5896,151.41914,-8.813395,51.715893,-16.539202,29.957275,-19.902151,7.764617,-14.203262,-3.567489,-8.184929,-2.2544692,0.62957424
21,-409.92267,157.20369,-16.639803,52.63328,-16.312326,27.058096,-24.390741,7.9621377,-16.82036,-2.1341093,-9.231818,-1.6425875,3.9354134
22,-361.54428,125.42169,-9.156047,43.829624,6.8717012,8.1514225,-10.621954,-0.87390876,-10.888635,-5.3803453,-11.005747,-3.127462,-3.949178
23,-419.3098,146.73892,-14.81666,57.17847,-5.238288,22.207525,-21.967546,13.432637,-14.479532,-7.1179237,-8.245401,-3.5167823,-1.8643808
24,-327.44928,130.91745,-18.467743,51.987595,2.2799728,9.648734,-16.457699,1.1482654,-12.597275,-6.640984,-13.162894,-2.3535802,-0.9729133
25,-355.87894,127.21611,-5.1154175,45.56105,-1.9091746,7.239868,-12.056173,3.9878979,-14.540504,-8.25788,-11.302195,-3.7092216,-4.595527
26,-388.2413,132.38577,-2.853117,46.404568,-0.19244605,10.151416,-7.97452,2.957026,-10.870825,-6.2339497,-12.720027,-2.8229914,-1.0122302
27,-394.30768,146.32816,-13.067297,51.48255,-4.8967547,16.264889,-17.774014,11.573583,-13.794234,-10.052808,-7.9962626,-1.879055,-0.36940646
28,-340.81238,135.7266,-21.664537,39.07535,-3.6720576,17.789497,-20.710203,1.0216656,-11.333259,-2.835746,-8.588054,-1.2454845,-2.1998672
29,-373.85074,145.06395,-37.52489,56.141125,-15.527987,28.206964,-23.047157,12.294687,-14.158568,-1.0317655,-6.1332583,-1.8360437,-2.1751573
30,-306.83664,128.20517,-17.907328,29.241453,-2.5770283,12.643366,-19.125385,-2.5075624,-10.548775,-3.4218254,-8.391897,-1.0745908,-4.79753
31,-333.85373,134.91414,-18.11664,33.74755,-3.3233047,17.172407,-21.433617,-2.042043,-10.951209,-3.915292,-7.955317,-1.6224929,-2.672671
32,-375.11615,143.94426,-18.481167,44.831116,-5.9119253,20.915947,-18.918402,2.5545468,-9.286557,-5.6753983,-7.9878893,-0.015584287,-3.808186
33,-413.96872,152.03859,-26.513056,59.440586,-11.68278,33.745808,-25.765257,12.804237,-16.27548,-2.3114548,-5.707326,-3.6059663,-3.2147067
34,-326.21417,120.577126,-9.256862,50.70684,-9.006368,16.920168,-24.162628,1.322137,-14.789947,-2.4403956,-11.28171,-1.5794438,-3.6634843
35,-364.34644,130.78413,-17.895393,57.740112,-14.62085,27.582056,-28.433388,8.217005,-15.033451,-0.76201266,-9.251778,-2.9181268,-2.5642939
36,-311.5104,116.54642,-10.1146555,38.427246,-7.480908,15.368989,-23.634974,3.595492,-11.0836525,-5.822708,-12.978896,-2.9605715,-3.1395943
37,-311.54507,119.280045,-13.706174,40.470787,-5.5094476,14.213158,-21.86361,1.5176498,-13.596718,-4.249848,-11.599424,-2.0374064,-1.4919975
38,-375.41376,130.22025,-14.464122,57.725124,-7.816163,26.36479,-24.059336,2.6893744,-12.746396,-4.0891056,-11.873684,-2.5327282,-4.038844
39,-416.14304,140.73201,-16.371109,59.480915,-10.172495,33.522163,-24.853817,8.325214,-11.594915,-1.4880174,-9.381985,-2.4704714,-1.000729
40,-301.59402,134.72899,-20.482101,33.545116,-19.510098,6.893674,-11.254914,0.035202276,-13.798217,-5.8178353,-12.267463,1.670865,-2.9069352
41,-384.31253,143.35301,-8.009197,39.953983,-10.371789,15.588668,-8.366382,8.360994,-10.983611,-5.49452,-6.9737067,0.15580533,-0.94567126
