,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,-697.9842,55.22849,0.323863,12.775377,7.3961473,0.86622375,-3.5502758,-2.8283315,-11.305532,-2.5249267,0.49610448,-2.7229264,1.6458004
1,-693.06976,55.73457,-1.9197392,16.408995,8.449355,0.22073597,-1.7383418,-4.9312906,-11.981821,-0.99378026,0.49410692,-2.2968976,0.6787002
2,-691.77014,58.350647,-0.16516027,13.952125,5.0533233,1.489326,-2.3974292,-5.059065,-10.638003,-3.3441968,0.26454964,-2.5291073,1.5486121
3,-685.2379,56.236694,2.453112,13.566656,6.701949,3.3414934,-1.8950523,-6.6738167,-10.671633,-2.9463198,0.89564353,-1.2035999,0.2465692
4,-727.31793,62.7644,2.751275,15.473256,7.763115,2.3307142,-3.6416821,-3.367344,-10.113077,-4.470085,0.63989425,-2.7456565,0.19821925
5,-707.55347,67.09773,1.9093647,11.530988,9.399661,1.4150268,-4.764856,-4.3333335,-8.645218,-4.472897,1.4295207,-2.0484023,-0.51856047
6,-697.4039,65.513794,0.52535695,14.03812,5.5549498,3.2954519,-1.7407445,-4.3807554,-9.062699,-4.1661587,1.5895823,-1.2514737,1.058002
7,-698.85394,69.10643,0.7254111,14.0907345,7.961055,2.463775,-0.99434227,-5.345838,-8.234461,-4.0351453,0.6476501,-1.3391949,1.241421
8,-734.38495,70.98158,3.7895305,14.324812,8.8596945,2.308805,-4.1103296,-2.4095542,-6.710663,-4.0116477,1.644352,0.43918857,-0.52450657
9,-698.0933,67.791794,-0.90085703,12.33659,6.4498596,1.0203946,-4.993831,-5.5840025,-8.369481,-4.4414024,2.250739,-1.0461272,-1.518406
10,-704.6942,69.36788,4.208249,12.464019,5.158593,6.381875,-5.3357525,-4.3550434,-8.794273,-4.4033165,1.8325773,1.6972591,0.12611003
11,-691.31586,65.8337,-4.0371404,15.089721,6.215339,3.4823492,-4.885655,-7.746931,-10.253159,-3.2049906,3.2730875,-0.4671091,-0.753944
12,-646.1303,63.436047,-4.7050138,12.907814,3.9263208,-2.5854485,-5.9829063,-6.31169,-11.837653,-2.075405,-1.5885873,-6.506576,0.8948671
13,-631.5811,63.322166,-6.1335177,15.783362,6.2134676,-1.2684894,-6.906775,-4.491343,-13.98043,-1.0565223,-0.16201177,-6.0679736,3.1193914
14,-656.4083,62.542316,-2.6647267,13.251564,1.5033542,0.16120915,-5.986968,-6.960753,-14.088727,-2.994081,2.0577924,-6.692928,1.6364714
15,-652.9287,57.447765,0.027808761,18.713766,2.2407947,0.83782613,-2.91643,-5.8738265,-13.817194,-3.219101,0.24028377,-4.2037735,2.2087371
16,-596.79126,49.548428,-6.384744,6.0062265,-1.668014,-0.8125203,-12.428633,-8.426094,-11.485937,-8.588349,-1.0570062,-6.682466,-2.265549
17,-560.09265,55.18311,-11.826186,5.8025937,2.1097965,-1.559523,-11.414464,-7.296623,-14.805033,-7.14044,2.9741204,-7.6017413,-1.9297847
18,-517.99835,48.429356,-10.63123,8.240811,-0.5801833,-1.7672247,-10.825087,-8.834173,-18.274193,-4.522711,-0.3837384,-8.764274,-0.25452137
19,-539.44464,50.090363,-9.412655,7.331817,-1.5387505,-2.9151354,-10.203468,-9.21971,-17.610708,-6.740697,-2.1607702,-6.6235013,-0.66119105
20,-681.0887,61.20893,-2.3614292,14.609263,6.424041,-2.480571,-2.8604643,-8.270592,-11.429063,-4.0701127,-4.6368127,-1.3228489,-1.2236595
21,-699.3178,65.86637,-1.4695123,16.901196,8.154821,-0.10098227,-0.18945947,-7.229146,-10.660558,-5.173815,-2.0920382,-1.6745895,-2.0880594
22,-735.7175,60.750244,-3.7851462,14.374075,6.250601,-1.4310757,-2.0664592,-7.237083,-11.304369,-3.4978764,-1.3165076,-1.0398875,-1.5937148
23,-711.96106,59.924423,0.3831924,15.940358,5.673769,0.15352082,0.892265,-7.20391,-12.565257,-3.655406,-2.7092638,-2.145418,-0.353642
24,-670.11145,62.823074,0.55714226,17.218746,7.4550605,-1.478175,-1.2724336,-7.127525,-9.772373,-1.1520991,-2.7757568,-2.2713854,-0.45928043
25,-627.64435,51.20387,-5.2075257,10.820925,3.3913436,-3.3029513,-8.9770565,-6.8396683,-15.439201,-4.1348023,-2.5005708,-6.6673713,0.044459533
26,-620.41205,55.264126,-6.0008373,13.997068,3.6677697,-2.4729054,-7.08465,-9.022414,-18.741243,-4.6358047,-2.5257583,-7.0122285,0.11720717
27,-606.1061,51.190697,-4.475018,13.707725,1.9421049,-2.7540147,-7.3613667,-8.506663,-16.334505,-3.4953883,-1.7118579,-5.7450495,0.09307852
28,-546.3417,42.903503,-6.4077506,13.032621,-1.7944483,-2.409417,-4.695904,-1.0791731,-12.832335,-4.406177,-1.2240136,-4.4060783,-1.065066
29,-526.54034,40.550125,-5.8469234,8.53104,-3.8284836,-3.2202508,-7.4750595,-8.151176,-13.546167,-6.1477165,-4.9182553,-6.246776,-3.8764505
30,-571.15985,45.756905,-1.8889462,12.214232,-0.7662792,-1.4611002,-5.5919952,-6.3026958,-13.775704,-3.818068,-3.9971755,-4.1060567,-1.3070608
31,-531.053,44.653122,-3.24905,8.975468,-0.36828765,-3.1031551,-4.731601,-6.2016907,-15.522319,-4.6229415,-2.943895,-5.428802,-0.06843946
32,-349.33228,30.41138,-20.523148,1.3123857,-11.870387,-3.8278084,-13.357002,-13.008143,-14.113651,-7.955347,-6.107919,-4.5124035,-7.5626903
33,-368.5743,22.89318,-19.359463,3.8106205,-10.871699,-4.801291,-12.855064,-7.384648,-17.476631,-8.489613,-5.3784003,-7.7502575,-5.437629
